"Ticker","Nome","Negócios","Última (R$)","Variação"
"SAPR3","Sanepar","130.400","7,93","-0,50%"
"TAEE3","Taesa","125.000","12,24","+2,00%"
"CMIG3","Cemig","123.100","14,49","+1,47%"
"PMAM3","Paranapanema","119.900","1,38","+0,00%"
"MATD3","Mater Dei","113.700","4,49","-0,44%"
"SANB4","Banco Santander","108.900","15,37","+1,05%"
"UNIP6","Unipar","108.500","72,36","-0,84%"
"EUCA4","Eucatex","102.600","17,26","-0,69%"
"BRKM3","Braskem","102.400","7,50","-4,46%"
"VLID3","Valid","93.400","21,16","+0,00%"
"VITT3","Vittia","80.500","4,81","-3,61%"
"AALR3","Alliança","79.900","6,39","-0,93%"
"SANB3","Banco Santander","75.000","14,01","+0,79%"
"BIOM3","Biomm","70.900","9,50","-4,81%"
"ITSA3","Itaúsa","70.600","11,49","+0,35%"
"LPSB3","Lopes","70.200","1,34","+0,00%"
"TPIS3","Triunfo","69.600","4,05","-1,22%"
"LOGN3","Log-In","67.900","27,10","+3,83%"
"TCSA3","Tecnisa","63.100","1,52","-3,18%"
"ETER3","Eternit","59.400","4,51","-0,88%"
"OIBR4","Oi","53.000","6,59","-3,65%"
"DEXP4","Dexxos","46.900","7,98","-3,86%"
"RPMG3","Refinaria de Manguinhos","45.200","2,89","-5,56%"
"CRPG5","Tronox Pigmentos","43.000","12,62","-1,48%"
"PDTC3","Padtec","42.300","1,02","-3,77%"
"LUPA3","Lupatech","41.700","1,11","+0,00%"
"VIVR3","Viver","40.500","0,94","+2,17%"
"EALT4","Electro Aço Altona","39.900","11,53","-3,43%"
"RNEW4","Renova Energia","38.900","1,05","+1,94%"
"DMVF3","D1000 Varejo Farma","37.700","4,97","-0,20%"
"NGRD3","Neogrid","35.900","25,00","-3,70%"
"GOAU3","Metalúrgica Gerdau","33.600","9,52","+0,74%"
"REAG3","REAG3","32.800","2,60","-0,76%"
"RNEW3","Renova Energia","32.800","1,10","+1,85%"
"UCAS3","Unicasa","32.700","1,28","+0,00%"
"AMOB3","Automob","32.100","12,98","-0,15%"
"AERI3","Aeris Energy","32.100","4,05","-0,98%"
"BRAP3","Bradespar","30.200","15,60","+0,45%"
"CAMB3","Cambuci","28.400","9,80","-1,21%"
"SCAR3","São Carlos","28.100","21,84","+1,77%"
"EMAE4","EMAE","27.900","34,88","+6,60%"
"LUXM4","Trevisa","27.100","3,49","+2,05%"
"BEES3","Banestes","26.600","8,15","+0,00%"
"SHOW3","Time For Fun","25.600","5,93","-1,00%"
"LAND3","Terra Santa","25.100","8,90","+0,00%"
"TECN3","Technos","24.100","6,73","-1,46%"
"LVTC3","WDC Networks","22.700","3,65","-1,35%"
"RSID3","Rossi Residencial","20.800","1,58","-1,25%"
"BMEB4","Banco Mercantil do Brasil","20.300","54,72","-1,00%"
"IGTI3","Jereissati Participações","19.600","2,85","-1,72%"
"IGTI3","Iguatemi","19.600","2,85","-1,72%"
"TRAD3","Traders Club","18.600","5,00","+1,63%"
"WEST3","Westwing","18.600","4,57","-0,65%"
"CGRA4","Grazziotin","18.400","28,81","+3,89%"
"EPAR3","Embpar Participações","17.900","4,31","-2,27%"
"INEP3","Inepar","17.800","1,51","-2,58%"
"GGBR3","Gerdau","17.300","14,82","+0,14%"
"CEBR6","CEB","17.200","24,54","+0,41%"
"FICT3","Fictor Alimentos","16.200","3,22","-0,31%"
"TASA3","Taurus","15.800","5,40","+0,56%"
"BRSR3","Banrisul","15.100","13,80","+3,92%"
"BPAC5","Banco BTG Pactual","14.500","10,85","-0,09%"
"CSUD3","CSU Cardsystem","14.400","18,20","-0,05%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","13.100","2,36","+0,85%"
"ALUP4","Alupar","13.000","10,30","+0,39%"
"DOTZ3","Dotz","11.900","7,17","-3,11%"
"WHRL3","Whirlpool","11.600","4,42","-1,78%"
"AGXY3","AgroGalaxy","10.400","5,70","+0,00%"
"WHRL4","Whirlpool","10.400","4,69","-0,21%"
"PTNT4","Pettenati","9.600","4,70","+1,73%"
"JFEN3","João Fortes","9.600","1,66","+0,61%"
"MTSA4","Metisa","8.700","43,41","+2,17%"
"ALUP3","Alupar","8.500","11,50","+3,14%"
"CLSC4","Celesc","8.400","101,89","-0,10%"
"BPAC3","Banco BTG Pactual","7.700","26,95","+3,26%"
"AZEV11","Azevedo & Travassos","7.300","0,08","+0,00%"
"TELB4","Telebras","7.100","9,65","-1,03%"
"RAPT3","Randon","7.000","6,13","+0,49%"
"INEP4","Inepar","7.000","1,48","+3,50%"
"COCE5","Coelce","6.800","30,13","+0,50%"
"NUTR3","Nutriplant","6.500","3,06","+1,66%"
"CEBR3","CEB","5.700","23,11","+0,00%"
"ALPA3","Alpargatas","5.400","9,09","-0,22%"
"SNSY5","Sansuy","5.200","3,39","-1,17%"
"OSXB3","OSX Brasil","5.100","2,30","-0,43%"
"VSTE3","LE LIS BLANC","4.400","5,30","+1,92%"
"EQPA3","Equatorial Energia Pará","4.200","5,80","+0,69%"
"UNIP3","Unipar","4.100","62,00","-1,21%"
"HOOT4","Hotéis Othon","3.700","4,22","+5,50%"
"BAZA3","Banco da Amazônia","3.600","75,60","-0,13%"
"BOBR4","Bombril","3.100","1,39","+0,72%"
"ISAE3","ISA Energia","3.000","30,94","+0,62%"
"RDNI3","RNI","2.900","2,26","+3,67%"
"ENGI4","Energisa","2.400","9,24","-0,65%"
"MGEL4","Mangels","2.300","5,70","+0,00%"
"WLMM4","WLM","2.200","20,39","-0,97%"
"OFSA3","Ourofino Saúde Animal","2.100","22,25","+0,00%"
"BRKM6","Braskem","2.100","7,97","+9,18%"
"CGRA3","Grazziotin","2.000","29,39","+5,53%"
"MOAR3","Monteiro Aranha","1.800","116,99","-1,68%"
"CEDO4","Cedro Têxtil","1.800","13,00","+6,47%"
"NEXP3","Brasil Brokers","1.800","3,43","+1,48%"
"CTSA4","Santanense","1.800","2,39","-2,45%"
"MNPR3","Minupar","1.700","40,90","+2,25%"
"REDE3","Rede Energia","1.500","6,26","-1,26%"
"BSLI4","Banco de Brasília","1.400","9,89","+5,66%"
"BEES4","Banestes","1.200","8,18","+0,49%"
"PTNT3","Pettenati","1.200","7,75","-0,26%"
"CEBR5","CEB","1.100","23,06","+0,00%"
"HAGA4","Haga","1.100","1,16","+3,57%"
"CEDO3","Cedro Têxtil","1.000","15,00","-9,09%"
"BGIP4","Banese","900","28,25","-2,59%"
"AMAR11","Lojas Marisa","900","0,20","+0,00%"
"GEPA4","Rio Paranapanema Energia","800","35,00","+0,49%"
"BSLI3","Banco de Brasília","800","9,25","+0,33%"
"AVLL3","Alphaville","800","1,66","-0,60%"
"PPLA11","PPLA","784","0,83","+2,47%"
"RSUL4","Metalúrgica Riosulense","700","64,02","-0,96%"
"MNDL3","Mundial","700","19,20","+1,86%"
"ENGI3","Energisa","700","13,55","+0,30%"
"PINE3","Banco Pine","700","8,33","-0,36%"
"DOHL4","Döhler","700","3,80","+0,53%"
"BALM4","Baumer","600","17,96","-0,17%"
"RVEE3","REVEE S.A.","600","10,15","-5,14%"
"RVEE3","REVEE","600","10,15","-5,14%"
"COCE3","Coelce","500","36,85","-0,11%"
"CEEB3","COELBA","500","36,69","+0,00%"
"CGAS5","Comgás","400","128,00","-0,62%"
"CLSC3","Celesc","400","98,00","+0,00%"
"CTKA4","Karsten","400","34,00","+5,26%"
"FIEI3","Fica","400","22,10","+0,45%"
"PEAB4","Participações Aliança da Bahia","300","35,00","-4,11%"
"EALT3","Electro Aço Altona","300","12,68","-2,46%"
"TELB3","Telebras","300","11,20","-2,18%"
"PSVM11","PORTO VM","300","6,00","+0,00%"
"CTSA3","Santanense","300","2,30","+3,60%"
"HAGA3","Haga","300","1,80","-2,17%"
"BNBR3","Banco do Nordeste","200","101,00","+0,45%"
"EKTR4","Elektro","200","45,80","-0,20%"
"PATI4","Panatlântica","200","38,87","+0,88%"
"AHEB3","São Paulo Turismo","200","30,03","+1,49%"
"FHER3","Fertilizantes Heringer","200","4,10","+0,00%"
"CGAS3","Comgás","100","124,00","-0,23%"
"ENMT3","Energisa MT","100","57,50","+2,68%"
"ENMT4","Energisa MT","100","55,94","+3,59%"
"MRSA3B","MRS Logística","100","27,80","+0,00%"
"BALM3","Baumer","100","21,20","+1,44%"
"FESA3","Ferbasa","100","11,41","+0,00%"
"BIOM11","Biomm","100","3,70","+0,00%"
"LUPA11","LUPA11","100","0,11","+0,00%"
"BMKS3","Monark","10","435,00","+0,00%"
"BIED3","BIED3","12.600","3,22","+2,22%"
"CTAX3","CTAX3","7.000","1,21","+0,83%"
"EQMA3B","Equatorial Maranhão","2.600","32,99","+1,51%"
"PLAS3","Plascar","1.400","5,00","+0,00%"
"GSHP3","General Shopping & Outlets","1.400","2,95","-1,34%"
"CCTY3","RDVC CITY","1.100","26,94","-26,39%"
"CCTY3","REDVECO PROPERTIES S.A","1.100","26,94","-26,39%"
"UNIP5","Unipar","1.000","72,00","+0,00%"
"BMEB3","Banco Mercantil do Brasil","1.000","45,00","+2,51%"
"HBTS5","Habitasul","500","30,30","+0,66%"
"PEAB3","Participações Aliança da Bahia","300","35,50","+0,00%"
"CRPG6","Tronox Pigmentos","300","13,60","-2,93%"
"ELET5","Eletrobras","200","78,75","+0,00%"
"FRIO3","Metalfrio","100","209,99","-8,70%"
"CPLE5","Copel","100","13,10","+0,38%"
"HETA4","Hercules","100","4,81","+0,00%"
"PATI3","Panatlântica","2.500","43,00","-6,52%"
"RPAD5","Alfa Holdings","2.400","7,72","-2,53%"
"AFLT3","Afluente T","600","7,30","-1,22%"
"CTKA3","Karsten","500","36,00","+2,86%"
"CBEE3","Ampla Energia","200","10,80","+0,00%"
"MWET4","Wetzel","200","10,20","+3,66%"
"BGIP3","Banese","100","32,80","+2,44%"
"BMIN4","Banco Mercantil de Investimentos","100","17,49","+2,94%"
"NORD3","Nordon","100","5,40","+1,31%"
"MERC4","Mercantil do Brasil Financeira","3.900","12,30","+29,47%"
"EUCA3","Eucatex","500","22,00","+3,48%"
"RNEW11","Renova Energia","500","3,23","+0,00%"
"BDLL3","Bardella","400","9,90","+0,00%"
"ESTR3","Estrela","200","5,10","+2,00%"
"BDLL4","Bardella","100","6,81","-2,85%"
"TKNO4","Tekno","2.500","175,00","-0,01%"
"GEPA3","Rio Paranapanema Energia","100","33,90","-0,29%"
"BRFS3","BRF","20.861.800","17,95","-5,38%"
"MRFG3","Marfrig","18.099.800","21,12","-4,61%"
"BRSR5","Banrisul","100","15,75","-1,44%"
"CRPG3","Tronox Pigmentos","1.000","15,00","-11,76%"
"CALI3","Adolpho Lindenberg","100","17,05","+0,00%"
"ESTR4","Estrela","100","6,00","+0,00%"
"MRSA5B","MRS Logística","500","24,50","+0,00%"
"MRSA6B","MRS Logística","300","25,00","+0,00%"
"WLMM3","WLM","100","22,99","+1,05%"
"EQPA7","Equatorial Energia Pará","600","6,85","+5,06%"
"BAUH4","Excelsior","200","86,96","-0,01%"
"JOPA3","Josapar","100","20,11","-0,05%"
"MAPT4","Cemepe","500","4,05","+8,00%"
"RPAD6","Alfa Holdings","200","4,76","+14,70%"
"CALI11","CALI11","100","3,85","-3,75%"
